# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/3126.1.all.q/genomes/tb927_6/tb927_6.gtf" "-o" "/tmp/3126.1.all.q/P1C/counts.txt" "/tmp/3126.1.all.q/P1C/P1Csorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/3126.1.all.q/P1C/P1Csorted.bam
Tb927.2.3290	Tb927_02_v5.1	605101	607469	+	2369	9566
Tb927.2.3300	Tb927_02_v5.1	608642	609991	+	1350	3653
Tb927.2.3310	Tb927_02_v5.1	612185	614554	+	2370	9109
Tb927.2.3320	Tb927_02_v5.1	615727	617079	+	1353	11744
Tb927.2.3330	Tb927_02_v5.1	617407	618112	+	706	471
Tb927.2.3340	Tb927_02_v5.1	619143	620168	-	1026	3985
Tb927.2.3370	Tb927_02_v5.1	622568	624818	-	2251	6017
Tb927.2.3390	Tb927_02_v5.1	625038	628664	-	3627	7674
Tb927.2.3400	Tb927_02_v5.1	628937	629985	-	1049	2425
Tb927.2.3420	Tb927_02_v5.1	630394	630879	-	486	2945
Tb927.2.3440	Tb927_02_v5.1	631650	632773	-	1124	3599
Tb927.2.3460	Tb927_02_v5.1	633597	634837	-	1241	3507
Tb927.2.3480	Tb927_02_v5.1	634955	636776	-	1822	7122
Tb927.2.3580	Tb927_02_v5.1	641498	643236	-	1739	7193
Tb927.2.3610	Tb927_02_v5.1	644802	645660	-	859	6255
Tb927.2.3620	Tb927_02_v5.1	646502	649139	-	2638	6192
Tb927.2.3660	Tb927_02_v5.1	650279	661575	-	11297	13772
Tb927.2.3720	Tb927_02_v5.1	662243	665976	-	3734	4173
Tb927.2.3730	Tb927_02_v5.1	666265	669012	-	2748	3678
Tb927.2.3750	Tb927_02_v5.1	669122	671861	-	2740	3589
Tb927.2.3780	Tb927_02_v5.1	672844	676359	-	3516	15961
Tb927.2.3800	Tb927_02_v5.1	675970	679126	-	3157	11243
Tb2.NT.37	Tb927_02_v5.1	679284	679720	-	437	813
Tb927.2.3880	Tb927_02_v5.1	686755	690640	-	3886	8974
Tb927.2.3910	Tb927_02_v5.1	689675	692832	-	3158	7493
Tb927.2.3920	Tb927_02_v5.1	692944	693881	-	938	2425
Tb927.2.3930	Tb927_02_v5.1	694009	697251	-	3243	4865
Tb927.2.3960	Tb927_02_v5.1	697392	698288	-	897	1666
Tb927.2.3970	Tb927_02_v5.1	698565	699915	-	1351	2906
Tb927.2.3990	Tb927_02_v5.1	700707	704078	-	3372	6984
Tb927.2.4000	Tb927_02_v5.1	704235	707234	-	3000	6145
Tb927.2.4020	Tb927_02_v5.1	707344	709608	-	2265	5467
Tb927.2.4050	Tb927_02_v5.1	709918	714647	-	4730	10277
Tb927.2.4060	Tb927_02_v5.1	715419	718164	-	2746	7608
Tb927.2.4090	Tb927_02_v5.1	718375	719837	-	1463	7747
Tb927.2.4110	Tb927_02_v5.1	720227	721860	-	1634	6739
Tb927.2.4130	Tb927_02_v5.1	721757	724995	-	3239	8460
Tb927.2.4140	Tb927_02_v5.1	725110	728615	-	3506	10212
Tb927.2.4150	Tb927_02_v5.1	728742	730138	-	1397	4385
Tb927.2.4160	Tb927_02_v5.1	730705	733487	-	2783	4401
Tb927.2.4200	Tb927_02_v5.1	736855	740194	-	3340	2233
Tb927.2.4210	Tb927_02_v5.1	740656	742863	-	2208	17799
Tb927.2.4230	Tb927_02_v5.1	742984	754825	-	11842	15963
Tb927.2.4240	Tb927_02_v5.1	754947	757212	-	2266	4833
Tb927.2.4280	Tb927_02_v5.1	759933	763493	-	3561	6207
Tb927.2.4330	Tb927_02_v5.1	765111	767567	-	2457	3547
Tb927.2.4340	Tb927_02_v5.1	767808	769258	-	1451	2452
Tb927.2.4370	Tb927_02_v5.1	769607	772983	-	3377	15452
Tb927.2.4380	Tb927_02_v5.1	773373	774663	-	1291	2511
Tb927.2.4390	Tb927_02_v5.1	775098	777449	-	2352	6216
Tb927.2.4400	Tb927_02_v5.1	777760	782008	-	4249	7873
Tb927.2.4410	Tb927_02_v5.1	782129	784409	-	2281	16635
Tb927.2.4420	Tb927_02_v5.1;Tb927_02_v5.1	784574;784574	786053;786293	-;-	1720	5512
Tb927.2.4440	Tb927_02_v5.1	786494	787589	-	1096	5579
Tb927.2.4445	Tb927_02_v5.1	787612	788207	-	596	3901
Tb927.2.4460	Tb927_02_v5.1	788919	790843	-	1925	5909
Tb927.2.4470	Tb927_02_v5.1	790963	793879	-	2917	5320
Tb927.2.4480	Tb927_02_v5.1	794009	795795	-	1787	6581
Tb927.2.4510	Tb927_02_v5.1	795917	800576	-	4660	13154
Tb927.2.4520	Tb927_02_v5.1	801493	805267	-	3775	11087
Tb927.2.4530	Tb927_02_v5.1	806089	806849	-	761	3215
Tb927.2.4540	Tb927_02_v5.1	807076	808145	-	1070	6476
Tb927.2.4550	Tb927_02_v5.1	808398	811509	-	3112	10126
Tb927.2.4560	Tb927_02_v5.1	812051	814041	-	1991	3144
Tb927.2.4580	Tb927_02_v5.1	814260	816446	-	2187	17561
Tb2.NT.41	Tb927_02_v5.1	816574	817079	-	506	3895
Tb927.2.4590	Tb927_02_v5.1	817282	819499	-	2218	17330
Tb927.2.4610	Tb927_02_v5.1	819617	821338	-	1722	8711
Tb927.2.4620	Tb927_02_v5.1	821456	822860	-	1405	3553
Tb927.2.4650	Tb927_02_v5.1	823239	824300	-	1062	2556
Tb927.2.4670	Tb927_02_v5.1	825324	827070	-	1747	3585
Tb927.2.4680	Tb927_02_v5.1	827867	829166	-	1300	2429
Tb927.2.4700	Tb927_02_v5.1	829289	832048	-	2760	5556
Tb927.2.4710	Tb927_02_v5.1	832806	835963	-	3158	45043
Tb927.2.4720	Tb927_02_v5.1	835653	840425	-	4773	13596
Tb927.2.4740	Tb927_02_v5.1	840842	841918	-	1077	2238
Tb927.2.4750	Tb927_02_v5.1	842055	844104	-	2050	3250
Tb927.2.4760	Tb927_02_v5.1	843529	846021	-	2493	5206
Tb927.2.4780	Tb927_02_v5.1	846146	850240	-	4095	10794
Tb927.2.4795	Tb927_02_v5.1	850455	850858	-	404	3116
Tb927.2.4800	Tb927_02_v5.1	850985	852274	-	1290	6247
Tb927.2.4810	Tb927_02_v5.1	852596	857212	-	4617	17101
Tb927.2.4830	Tb927_02_v5.1	857351	859362	-	2012	10387
Tb927.2.4840	Tb927_02_v5.1	859870	860567	-	698	2619
Tb927.2.4850	Tb927_02_v5.1	860727	862306	-	1580	16610
Tb927.2.4870	Tb927_02_v5.1	862606	863607	-	1002	2639
Tb927.2.4890	Tb927_02_v5.1	863698	865041	-	1344	2477
Tb927.2.4900	Tb927_02_v5.1	865200	866545	-	1346	2366
Tb927.2.4920	Tb927_02_v5.1	867355	869126	-	1772	3833
Tb927.2.4925	Tb927_02_v5.1	869251	870162	-	912	3220
Tb927.2.4930	Tb927_02_v5.1	870284	871917	-	1634	5922
Tb927.2.4950	Tb927_02_v5.1	872188	876514	-	4327	7338
Tb927.2.4970	Tb927_02_v5.1	877244	879167	-	1924	5203
Tb927.2.4980	Tb927_02_v5.1	879286	880417	-	1132	4581
Tb927.2.4990	Tb927_02_v5.1	880589	883359	-	2771	8556
Tb927.2.5000	Tb927_02_v5.1	884008	885290	-	1283	4634
Tb927.2.5010	Tb927_02_v5.1	886019	887523	-	1505	4735
Tb927.2.5020	Tb927_02_v5.1	887723	889999	-	2277	8266
Tb927.2.5030	Tb927_02_v5.1	890132	892562	-	2431	6804
Tb927.2.5040	Tb927_02_v5.1	892686	893563	-	878	4247
Tb927.2.5050	Tb927_02_v5.1	893699	895060	-	1362	3426
Tb927.2.5060	Tb927_02_v5.1	895261	896489	-	1229	18172
Tb927.2.5070	Tb927_02_v5.1	896595	897215	-	621	873
Tb927.2.5080	Tb927_02_v5.1	897328	898837	-	1510	3450
Tb2.NT.50	Tb927_02_v5.1	905341	905521	+	181	87
Tb927.2.5120	Tb927_02_v5.1	905632	906444	+	813	2891
Tb927.2.5130	Tb927_02_v5.1	906553	907778	+	1226	4399
Tb927.2.5140	Tb927_02_v5.1	907929	908640	+	712	2242
Tb2.NT.51	Tb927_02_v5.1	908676	909043	+	368	522
Tb927.2.5150	Tb927_02_v5.1	909140	910654	+	1515	7378
Tb927.2.5160	Tb927_02_v5.1	910849	912056	+	1208	44839
Tb927.2.5180	Tb927_02_v5.1	912543	913708	+	1166	4621
Tb927.2.5190	Tb927_02_v5.1	913840	914820	+	981	3199
Tb927.2.5200	Tb927_02_v5.1	914914	917250	+	2337	8159
Tb927.2.5210	Tb927_02_v5.1	917429	918184	+	756	4314
Tb927.2.5220	Tb927_02_v5.1	918410	919496	+	1087	5218
Tb927.2.5230	Tb927_02_v5.1	919961	920818	+	858	2911
Tb927.2.5240	Tb927_02_v5.1	921089	922750	+	1662	7593
Tb927.2.5250	Tb927_02_v5.1	923072	924425	+	1354	7032
Tb927.2.5260	Tb927_02_v5.1	924568	925170	+	603	3613
Tb927.2.5270	Tb927_02_v5.1	925381	938171	+	12791	20932
Tb927.2.5280	Tb927_02_v5.1	938954	941448	+	2495	11802
Tb927.2.5290	Tb927_02_v5.1	941592	943763	+	2172	5148
Tb927.2.5300	Tb927_02_v5.1	944572	945691	+	1120	1718
Tb927.2.5310	Tb927_02_v5.1	946500	948294	+	1795	2576
Tb927.2.5320	Tb927_02_v5.1	948419	950219	+	1801	1611
Tb927.2.5330	Tb927_02_v5.1	950344	952159	+	1816	1799
Tb927.2.5340	Tb927_02_v5.1	952284	954099	+	1816	1659
Tb927.2.5350	Tb927_02_v5.1	954224	956039	+	1816	1804
Tb927.2.5360	Tb927_02_v5.1	956164	957295	+	1132	1586
Tb927.2.5384	Tb927_02_v5.1	958081	960865	+	2785	400
Tb927.2.5410	Tb927_02_v5.1	962027	967175	-	5149	7916
Tb927.2.5440	Tb927_02_v5.1	967441	971458	-	4018	9291
Tb927.2.5480	Tb927_02_v5.1	973700	977294	-	3595	4539
Tb2.NT.57	Tb927_02_v5.1	977410	977799	-	390	308
Tb927.2.5500	Tb927_02_v5.1	978941	979806	-	866	3209
Tb927.2.5530	Tb927_02_v5.1	980487	986253	-	5767	8487
Tb2.NT.58	Tb927_02_v5.1	986351	986802	-	452	576
Tb927.2.5540	Tb927_02_v5.1	988011	994295	-	6285	5955
Tb927.2.5600	Tb927_02_v5.1	1000404	1007743	+	7340	6939
Tb2.NT.61	Tb927_02_v5.1	1007898	1008349	+	452	557
Tb927.2.5610	Tb927_02_v5.1	1008447	1014213	+	5767	7845
Tb927.2.5630	Tb927_02_v5.1	1014894	1016802	+	1909	6762
Tb2.NT.63	Tb927_02_v5.1	1016913	1017285	+	373	396
Tb927.2.5650	Tb927_02_v5.1	1017418	1021444	+	4027	5339
Tb927.2.5660	Tb927_02_v5.1	1021550	1022501	+	952	5498
Tb927.2.5680	Tb927_02_v5.1	1024689	1024836	+	148	6
Tb927.2.5710	Tb927_02_v5.1	1025808	1027351	+	1544	22
Tb927.2.5720	Tb927_02_v5.1	1027579	1031636	+	4058	3063
Tb927.2.5750	Tb927_02_v5.1	1030388	1033629	+	3242	6954
Tb927.2.5760	Tb927_02_v5.1	1033908	1043301	+	9394	5412
Tb927.2.5800	Tb927_02_v5.1	1046195	1047765	+	1571	7324
Tb927.2.5810	Tb927_02_v5.1	1047922	1053340	+	5419	13951
Tb927.2.5820	Tb927_02_v5.1	1053508	1057287	+	3780	9267
Tb927.2.5830	Tb927_02_v5.1	1057460	1058457	+	998	3898
Tb927.2.5850	Tb927_02_v5.1	1058691	1059083	+	393	4628
Tb927.2.5860	Tb927_02_v5.1	1059472	1063324	+	3853	2539
Tb927.2.5870	Tb927_02_v5.1	1064533	1070201	+	5669	6265
Tb927.2.5890	Tb927_02_v5.1	1071724	1073423	+	1700	5426
Tb927.2.5900	Tb927_02_v5.1	1073525	1076935	+	3411	7619
Tb927.2.5910	Tb927_02_v5.1	1077030	1077599	+	570	31329
Tb927.2.5930	Tb927_02_v5.1	1077803	1079749	+	1947	9033
Tb927.2.5950	Tb927_02_v5.1	1080102	1082234	+	2133	7059
Tb927.2.5970	Tb927_02_v5.1	1082338	1084214	+	1877	9642
Tb927.2.5980	Tb927_02_v5.1	1084364	1087644	+	3281	6378
Tb927.2.6000	Tb927_02_v5.1	1087774	1092746	+	4973	25530
Tb927.2.6050	Tb927_02_v5.1	1092608	1095501	+	2894	18411
Tb927.2.6070	Tb927_02_v5.1	1096318	1097380	+	1063	6160
Tb927.2.6080	Tb927_02_v5.1	1097566	1099351	+	1786	5350
Tb927.2.6090	Tb927_02_v5.1	1099538	1100155	+	618	22745
Tb927.2.6100	Tb927_02_v5.1	1100311	1102052	+	1742	7556
Tb927.2.6130	Tb927_02_v5.1	1102710	1105984	+	3275	8014
Tb927.2.6150	Tb927_02_v5.1	1106145	1108869	+	2725	5188
Tb927.2.6180	Tb927_02_v5.1	1114507	1117774	+	3268	5603
Tb927.2.6200	Tb927_02_v5.1	1116625	1119335	+	2711	3288
Tb927.2.6210	Tb927_02_v5.1	1124923	1128186	+	3264	2493
Tb927.2.6220	Tb927_02_v5.1	1126503	1129788	+	3286	5146
Tb927.2.6230	Tb927_02_v5.1	1131707	1136058	+	4352	4683
Tb927.2.6240	Tb927_02_v5.1	1136599	1142881	+	6283	2064
Tb927.2.6270	Tb927_02_v5.1	1141756	1146582	+	4827	682
Tb927.2.6280	Tb927_02_v5.1	1147123	1153421	+	6299	1961
Tb927.2.6310	Tb927_02_v5.1	1152295	1159353	+	7059	1333
Tb927.2.6320	Tb927_02_v5.1	1157651	1162050	+	4400	6954
Tb927.2.6350	Tb927_02_v5.1	1166313	1167905	+	1593	151
Tb927.2.6372	Tb927_02_v5.1	1170247	1175092	-	4846	97
Tb927.2.6375	Tb927_02_v5.1	1175359	1176353	-	995	0
Tb927.2.6380	Tb927_02_v5.1	1178158	1179708	-	1551	0
Tb927.2.6390	Tb927_02_v5.1	1180816	1182456	-	1641	0
Tb927.2.6400	Tb927_02_v5.1	1182696	1183604	-	909	78
Tb927.2.6404	Tb927_02_v5.1	1183907	1184890	-	984	152
Tb927.2.6410	Tb927_02_v5.1	1186058	1187488	-	1431	0
Tb927.2.6430	Tb927_02_v5.1	1189121	1190683	-	1563	0
Tb927.2.6435	Tb927_02_v5.1	1191822	1193947	-	2126	4
Tb05.5K5.10	5K5_v5.1	3	97	-	95	110
Tb05.5K5.20	5K5_v5.1	150	2405	-	2256	2537
Tb05.5K5.30	5K5_v5.1	3300	7701	-	4402	6405
Tb05.5K5.40	5K5_v5.1	8406	9012	-	607	3832
Tb05.5K5.50	5K5_v5.1	9142	10828	-	1687	2280
Tb05.5K5.60	5K5_v5.1	10998	11739	-	742	1636
Tb05.5K5.70	5K5_v5.1	11904	14331	-	2428	10003
Tb05.5K5.80	5K5_v5.1	15063	16182	-	1120	1896
Tb05.5K5.90	5K5_v5.1	16499	16915	-	417	1852
Tb05.5K5.100	5K5_v5.1	17609	18248	-	640	1360
Tb05.5K5.110	5K5_v5.1	18623	22146	-	3524	5791
Tb05.5K5.120	5K5_v5.1	21693	25373	-	3681	4284
Tb05.5K5.130	5K5_v5.1	25549	27588	-	2040	14368
Tb05.5K5.140	5K5_v5.1	27867	28292	-	426	636
Tb05.5K5.150	5K5_v5.1	28569	29197	-	629	5274
Tb05.5K5.160	5K5_v5.1	29371	32881	-	3511	4784
Tb05.5K5.170	5K5_v5.1	32991	33885	-	895	3361
Tb05.5K5.180	5K5_v5.1	42035	47179	+	5145	4636
Tb05.5K5.190	5K5_v5.1	47844	53721	+	5878	7050
Tb05.5K5.200	5K5_v5.1	55818	58421	+	2604	6151
Tb05.5K5.210	5K5_v5.1	58529	63156	+	4628	7820
Tb05.5K5.220	5K5_v5.1	62433	68905	+	6473	10265
Tb05.5K5.230	5K5_v5.1	69112	70007	+	896	735
Tb05.5K5.240	5K5_v5.1	70446	71678	+	1233	3842
Tb05.5K5.250	5K5_v5.1	73326	73871	+	546	342
Tb05.5K5.260	5K5_v5.1	76296	77355	+	1060	8
Tb05.5K5.270	5K5_v5.1	78356	79256	+	901	424
Tb05.5K5.280	5K5_v5.1	82303	83290	+	988	1224
Tb05.5K5.290	5K5_v5.1	85390	86076	-	687	151
Tb05.5K5.300	5K5_v5.1	88020	89645	-	1626	12
Tb05.5K5.310	5K5_v5.1	89861	90997	-	1137	56
Tb05.5K5.320	5K5_v5.1	92058	93524	-	1467	1
Tb05.5K5.330	5K5_v5.1	95867	97674	-	1808	0
Tb05.5K5.340	5K5_v5.1	99284	100894	-	1611	0
Tb05.5K5.350	5K5_v5.1	101144	102241	-	1098	7
Tb05.5K5.360	5K5_v5.1	102882	104444	-	1563	0
Tb05.5K5.370	5K5_v5.1	105949	107920	-	1972	0
Tb05.5K5.380	5K5_v5.1	108989	110575	-	1587	0
Tb05.5K5.390	5K5_v5.1	112251	115684	-	3434	410
Tb05.5K5.400	5K5_v5.1	117344	120266	-	2923	4
Tb05.5K5.410	5K5_v5.1	120462	122033	-	1572	0
Tb05.5K5.420	5K5_v5.1	122167	123255	-	1089	156
Tb05.5K5.430	5K5_v5.1	124429	125868	-	1440	0
Tb05.5K5.440	5K5_v5.1	127693	129411	-	1719	0
Tb05.5K5.450	5K5_v5.1	131259	132734	-	1476	0
Tb05.5K5.460	5K5_v5.1	134559	136277	-	1719	1
Tb05.5K5.470	5K5_v5.1	137939	139749	-	1811	7
Tb05.5K5.480	5K5_v5.1	141766	143448	-	1683	0
Tb05.5K5.490	5K5_v5.1	144327	145871	-	1545	0
Tb05.5K5.500	5K5_v5.1	146132	147163	-	1032	1371
Tb05.5K5.510	5K5_v5.1	147286	148407	-	1122	17
Tb05.5K5.520	5K5_v5.1	149334	150908	-	1575	1
Tb05.5K5.530	5K5_v5.1	152786	154174	-	1389	0
Tb05.5K5.540	5K5_v5.1	155811	157295	-	1485	0
Tb09.v4.0179	tryp_IXb-6g03.q1c	1986	3404	+	1419	0
Tb09.v4.0180	tryp_IXb-6g03.q1c	6546	7566	+	1021	2
Tb09.v4.0181	tryp_IXb-6g03.q1c	8812	9372	+	561	2
Tb09.v4.0182	tryp_IXb-6g03.q1c	10340	11812	+	1473	1
Tb09.v4.0183	tryp_IXb-6g03.q1c	13756	15424	+	1669	0
Tb09.v4.0184	tryp_IXb-6g03.q1c	17293	20432	+	3140	15
Tb09.v4.0185	tryp_IXb-6g03.q1c	20550	22070	+	1521	1
Tb09.v4.0186	tryp_IXb-6g03.q1c	24548	25933	+	1386	0
Tb09.v4.0187	tryp_IXb-6g03.q1c	28025	29405	+	1381	0
Tb09.v4.0188	tryp_IXb-6g03.q1c	32777	33399	+	623	0
Tb09.v4.0088	tryp_IXb-218d07.p1c	2332	3705	+	1374	0
Tb09.v4.0089	tryp_IXb-218d07.p1c	4551	6149	+	1599	0
Tb09.v4.0090	tryp_IXb-218d07.p1c	6358	7772	+	1415	0
Tb09.v4.0091	tryp_IXb-218d07.p1c	10504	11947	+	1444	0
Tb09.v4.0092	tryp_IXb-218d07.p1c	13114	14654	+	1541	0
Tb09.v4.0093	tryp_IXb-218d07.p1c	16620	17365	+	746	0
Tb09.v4.0094	tryp_IXb-218d07.p1c	19292	19716	+	425	0
Tb09.v4.0095	tryp_IXb-218d07.p1c	20410	20616	+	207	0
Tb09.v4.0096	tryp_IXb-218d07.p1c	20666	22117	+	1452	2
Tb09.v4.0097	tryp_IXb-218d07.p1c	23380	24316	+	937	0
Tb09.v4.0098	tryp_IXb-218d07.p1c	24714	25607	+	894	0
Tb09.v4.0099	tryp_IXb-218d07.p1c	35973	37307	-	1335	0
Tb09.v4.0100	tryp_IXb-218d07.p1c	38872	39682	+	811	0
Tb09.v4.0101	tryp_IXb-218d07.p1c	40850	41817	+	968	8
Tb09.v4.0102	tryp_IXb-218d07.p1c	41927	43444	+	1518	0
Tb09.v4.0103	tryp_IXb-218d07.p1c	46019	47563	+	1545	0
Tb09.v4.0104	tryp_IXb-218d07.p1c	52495	54701	-	2207	291
Tb09.v4.0105	tryp_IXb-218d07.p1c	58803	60664	-	1862	514
Tb09.v4.0106	tryp_IXb-218d07.p1c	69663	72842	+	3180	545
Tb09.v4.0107	tryp_IXb-218d07.p1c	86848	88417	+	1570	3030
Tb09.v4.0108	tryp_IXb-218d07.p1c	89207	89997	+	791	1015
Tb09.v4.0109	tryp_IXb-218d07.p1c	92013	92989	+	977	1219
Tb09.v4.0110	tryp_IXb-218d07.p1c	94256	95130	+	875	820
Tb09.v4.0111	tryp_IXb-218d07.p1c	96984	98692	+	1709	604
Tb09.v4.0112	tryp_IXb-218d07.p1c	105151	108768	+	3618	425
Tb09.v4.0113	tryp_IXb-218d07.p1c	108154	111523	+	3370	458
Tb09.v4.0114	tryp_IXb-218d07.p1c	114298	115840	+	1543	42
Tb09.v4.0115	tryp_IXb-218d07.p1c	116895	117916	+	1022	30
Tb09.v4.0116	tryp_IXb-218d07.p1c	118489	120397	+	1909	27
Tb09.v4.0117	tryp_IXb-218d07.p1c	126248	127413	+	1166	60
Tb09.v4.0118	tryp_IXb-218d07.p1c	127605	128701	+	1097	15
Tb09.v4.0119	tryp_IXb-218d07.p1c	129945	132858	+	2914	1079
Tb09.v4.0120	tryp_IXb-218d07.p1c	133495	135030	+	1536	35
Tb09.v4.0121	tryp_IXb-218d07.p1c	141195	142815	-	1621	2
Tb09.v4.0122	tryp_IXb-218d07.p1c	143073	143711	-	639	2
Tb09.v4.0123	tryp_IXb-218d07.p1c	146312	147872	-	1561	0
Tb09.v4.0124	tryp_IXb-218d07.p1c	148045	151358	-	3314	421
Tb09.v4.0125	tryp_IXb-218d07.p1c	149035	157031	-	7997	1442
Tb09.v4.0126	tryp_IXb-218d07.p1c	158851	160416	-	1566	0
Tb09.v4.0127	tryp_IXb-218d07.p1c	161561	163228	-	1668	0
Tb09.v4.0128	tryp_IXb-218d07.p1c	165027	165362	-	336	1
Tb09.v4.0129	tryp_IXb-218d07.p1c	166233	167801	-	1569	1
Tb09.v4.0130	tryp_IXb-218d07.p1c	168184	169178	-	995	331
Tb09.v4.0131	tryp_IXb-218d07.p1c	170499	172037	-	1539	0
Tb09.v4.0132	tryp_IXb-218d07.p1c	172157	173247	-	1091	314
Tb09.v4.0133	tryp_IXb-218d07.p1c	174445	175866	-	1422	0
Tb09.v4.0134	tryp_IXb-218d07.p1c	176900	178362	-	1463	1
Tb09.v4.0135	tryp_IXb-218d07.p1c	179572	179721	-	150	0
Tb09.v4.0136	tryp_IXb-218d07.p1c	180545	182086	-	1542	2
Tb09.v4.0137	tryp_IXb-218d07.p1c	183067	189712	-	6646	291
Tb09.v4.0138	tryp_IXb-218d07.p1c	190034	190903	-	870	0
Tb09.v4.0139	tryp_IXb-218d07.p1c	192547	194108	-	1562	0
Tb09.v4.0140	tryp_IXb-218d07.p1c	194282	194569	-	288	0
Tb09.v4.0141	tryp_IXb-218d07.p1c	196593	198101	-	1509	0
Tb09.v4.0142	tryp_IXb-218d07.p1c	198172	200853	-	2682	0
Tb09.v4.0143	tryp_IXb-218d07.p1c	202563	208284	-	5722	319
Tb09.v4.0144	tryp_IXb-218d07.p1c	210877	212342	-	1466	1
Tb09.v4.0145	tryp_IXb-218d07.p1c	214778	216160	-	1383	0
Tb09.v4.0061	tryp_IXb-1c10.p1c	4492	5957	+	1466	0
Tb09.v4.0062	tryp_IXb-1c10.p1c	7580	8179	+	600	3
Tb09.v4.0063	tryp_IXb-1c10.p1c	8293	9943	+	1651	3
Tb09.v4.0064	tryp_IXb-1c10.p1c	10897	13718	+	2822	727
Tb09.v4.0065	tryp_IXb-1c10.p1c	14768	15749	-	982	6182
Tb11.0290	tryp_XI-1036e06.p1k	1731	2390	+	660	11427
Tb11.0300	tryp_XI-1036e06.p1k	3677	4461	+	785	1157
Tb11.0310	tryp_XI-1036e06.p1k	5380	6420	+	1041	1355
Tb11.0320	tryp_XI-1036e06.p1k	7189	10111	+	2923	2913
Tb11.0330	tryp_XI-1036e06.p1k	10367	12996	+	2630	21007
Tb11.0340	tryp_XI-1036e06.p1k	13177	14908	+	1732	1770
Tb11.0350	tryp_XI-1036e06.p1k	15455	17223	+	1769	1760
Tb11.0360	tryp_XI-1036e06.p1k	17537	20240	+	2704	1432
Tb11.0370	tryp_XI-1036e06.p1k	21266	24854	+	3589	2183
Tb11.0380	tryp_XI-1036e06.p1k	25233	26986	+	1754	1973
Tb11.0390	tryp_XI-1036e06.p1k	29081	29734	+	654	16156
Tb11.0400	tryp_XI-1036e06.p1k	31022	32483	+	1462	2167
Tb11.0410	tryp_XI-1036e06.p1k	32839	33764	+	926	1307
Tb11.0420	tryp_XI-1036e06.p1k	34536	35719	+	1184	686
Tb09.v4.0021	TP26P4-3b07.q1k	2506	4111	-	1606	1
Tb09.v4.0022	TP26P4-3b07.q1k	5299	6702	-	1404	0
Tb09.v4.0023	TP26P4-3b07.q1k	8266	9666	-	1401	0
Tb09.v4.0024	TP26P4-3b07.q1k	10372	11481	-	1110	19
Tb09.v4.0025	TP26P4-3b07.q1k	12175	23012	-	10838	587
Tb09.v4.0026	TP26P4-3b07.q1k	25065	26600	-	1536	1
Tb09.v4.0027	TP26P4-3b07.q1k	26928	27963	-	1036	200
Tb09.v4.0028	TP26P4-3b07.q1k	29235	31162	-	1928	1
Tb09.v4.0029	TP26P4-3b07.q1k	32199	33722	-	1524	1
Tb09.v4.0030	TP26P4-3b07.q1k	35145	36644	-	1500	1
Tb09.v4.0031	TP26P4-3b07.q1k	38597	40024	-	1428	0
Tb09.v4.0032	TP26P4-3b07.q1k	40412	41169	-	758	0
Tb09.v4.0033	TP26P4-3b07.q1k	41643	42462	-	820	145
Tb09.v4.0034	TP26P4-3b07.q1k	43412	44785	-	1374	0
Tb09.v4.0035	TP26P4-3b07.q1k	47239	47943	-	705	0
Tb09.v4.0036	TP26P4-3b07.q1k	49653	51975	-	2323	0
Tb09.v4.0150	tryp_IXb-314f06.q1c	4095	5189	-	1095	782
Tb09.v4.0151	tryp_IXb-314f06.q1c	15079	18756	+	3678	12361
Tb09.v4.0152	tryp_IXb-314f06.q1c	17871	21363	+	3493	4043
Tb09.v4.0153	tryp_IXb-314f06.q1c	22244	24768	-	2525	809
Tb09.v4.0154	tryp_IXb-314f06.q1c	27603	28694	+	1092	547
Tb09.v4.0155	tryp_IXb-314f06.q1c	28997	29574	+	578	0
Tb10.v4.0232	tryp_X-50f09.p2kB193	1050	2426	-	1377	0
Tb10.v4.0233	tryp_X-50f09.p2kB193	4327	5711	-	1385	0
Tb10.v4.0234	tryp_X-50f09.p2kB193	7658	8695	+	1038	5
Tb10.v4.0235	tryp_X-50f09.p2kB193	9087	10468	+	1382	0
Tb10.v4.0236	tryp_X-50f09.p2kB193	12238	13747	+	1510	39
Tb10.v4.0237	tryp_X-50f09.p2kB193	15438	18762	+	3325	0
Tb10.v4.0238	tryp_X-50f09.p2kB193	19605	20580	+	976	0
Tb10.v4.0239	tryp_X-50f09.p2kB193	22166	23364	+	1199	0
Tb10.v4.0240	tryp_X-50f09.p2kB193	25999	31794	+	5796	701
Tb11.0660	tryp_XI-1130e12.q1k	5591	7072	+	1482	0
Tb11.0670	tryp_XI-1130e12.q1k	8787	10247	+	1461	1
Tb11.0680	tryp_XI-1130e12.q1k	12272	13711	+	1440	0
Tb11.0690	tryp_XI-1130e12.q1k	15242	16534	+	1293	0
Tb11.0430	tryp_XI-1056c09.q1k	3	893	+	891	0
Tb11.0440	tryp_XI-1056c09.q1k	954	1577	+	624	0
Tb11.0450	tryp_XI-1056c09.q1k	9061	9729	+	669	0
Tb11.0460	tryp_XI-1056c09.q1k	9790	10401	+	612	0
Tb11.0470	tryp_XI-1056c09.q1k	14849	15733	+	885	0
